prodigium ‘m
proelium 201
profugus 197
prohibeo 213
promitto Ι
propius 186
proprius 186
prospicere 29
protenus 225
protinus 225
pugna 201
pullus ΞΗ
puto 212
pyra 191

que 52 bix Q
quotidie 2³1

R
ratio 219
midivus 6³
recipio 128
mdivivus 68
regius 11
relegatus 197
relictus 41
reliqui ⁶2
renuntio 120
resiipulatio 162
reticeo 215
revereor 187
rex 11
rogus 191

S
saevus 200
sanguis 21
sanies ⁴21
satietas 163
saturitas 163
sceleratus 61

scelerosus 61
scelestus 61
scelus 32
segnis 46
seusus 1⁸
sententia 247
sepulcrum 216
sermocinor 27
servitium ὅ
servitus 5

sic 208

sidus 217
sileo 55
similis 101
similitudo 191
simitu 61]
simul 60
simulo 59
sinus 1Βῦ
solitar-ius 38
soloecismus 4⁰
solus 38
specto 29
spiritus 177
spiro 180
stilla 78Δ Ξ38
stipulatio 162
struo 1ξῖ
suavis 189
subsidium 56
subter 135
subtus 135
suffrago 160
sumo ΞΒ
super 51
supra 51
suscipio 128
suspicio 2⁹
suspicor 212
syncope ³⁴5

mun rumen! ετ »nomn-ena. 167

